id,x,y
KinectAdventures,147.0016396389883,156.516
CallofDutyModernWarfare3,171.5016396389883,156.516
CallofDutyBlackOps,196.0016396389883,156.516
CallofDutyModernWarfare2,220.5016396389883,156.516
Halo3,245.0016396389883,156.516
GrandTheftAutoIV,269.5016396389883,156.516
CallofDutyGhosts,294.0016396389883,156.516
HaloReach,318.5016396389883,156.516
Halo4,759.5016396389883,156.516
CallofDuty4ModernWarfare,784.0016396389883,156.516
Minecraft,808.5016396389883,156.516
TheElderScrollsVSkyrim,833.0016396389883,156.516
Halo2,857.5016396389883,156.516
CallofDutyWorldatWar,882.0016396389883,156.516
Battlefield3,906.5016396389883,156.516
GearsofWar2,122.50163963898831,181.016
HaloCombatEvolved,147.0016396389883,181.016
Halo3ODST,171.5016396389883,181.016
GearsofWar3,196.0016396389883,181.016
KinectSports,220.5016396389883,181.016
GearsofWar,245.0016396389883,181.016
AssassinsCreed,269.5016396389883,181.016
ForzaMotorsport3,294.0016396389883,181.016
FableIII,318.5016396389883,181.016
Fallout3,735.0016396389883,181.016
ForzaMotorsport4,759.5016396389883,181.016
Halo5Guardians,784.0016396389883,181.016
TheElderScrollsIVOblivion,808.5016396389883,181.016
FableII,833.0016396389883,181.016
FalloutNewVegas,857.5016396389883,181.016
ForzaMotorsport2,882.0016396389883,181.016
Left4Dead2,906.5016396389883,181.016
LEGOIndianaJonesTheOriginalAdventures,931.0016396389883,181.016
Left4Dead,955.5016396389883,181.016
AssassinsCreedBrotherhood,98.00163963898831,205.516
BattlefieldBadCompany2,122.50163963898831,205.516
Borderlands,147.0016396389883,205.516
LEGOBatmanTheVideogame,171.5016396389883,205.516
GearsofWarUltimateEdition,196.0016396389883,205.516
HaloTheMasterChiefCollection,220.5016396389883,205.516
DanceCentral,245.0016396389883,205.516
MassEffect2,269.5016396389883,205.516
Borderlands2,294.0016396389883,205.516
KungFuPanda,318.5016396389883,205.516
MassEffect3,343.0016396389883,205.516
SaintsRow2,735.0016396389883,205.516
TomClancysSplinterCell,759.5016396389883,205.516
NBA2K13,784.0016396389883,205.516
Titanfall,808.5016396389883,205.516
MassEffect,833.0016396389883,205.516
