x,y
3.0057373046875,0
4,0
5,0.00860595703125
5,0.998956561088562
5,2.001043438911438
5.00860595703125,3
5.998956561088562,3
7.001043438911438,3
8,3.0057373046875
8,4
7.99139404296875,5
7.001043438911438,5
5.998956561088562,5
5,5.00860595703125
5,5.998956561088562
5,7.001043438911438
4.9942626953125,8
4,8
3,7.99139404296875
3,7.001043438911438
3,5.998956561088562
2.99139404296875,5
2.001043438911438,5
0.998956561088562,5
0,4.9942626953125
0,4
0.00860595703125,3
0.998956561088562,3
2.001043438911438,3
3,2.99139404296875
3,2.001043438911438
3,0.998956561088562
